,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
237,60,5106,6,12,1279,1277,12,0,0,0,G
239,24,5007,0,32,4290,4644,8,28,0,1,G
245,36,4409,0,48,665,5326,10,32,0,1,B
246,60,4106,3,40,2735,7090,8,80,1,0,G
248,12,3509,0,23,767,2759,10,23,0,1,G
249,60,5904,6,31,2109,3144,11,56,0,0,G
253,12,4607,0,44,1633,3825,10,39,0,1,G
254,60,3707,1,15,1330,3527,10,42,0,0,G
255,12,7101,2,28,609,1736,10,11,0,0,G
259,60,5407,6,54,1240,3983,9,55,1,0,G
260,24,2904,0,19,9320,2733,10,36,0,1,G
266,24,5504,0,25,1551,3061,15,42,0,1,G
267,60,6410,0,29,1707,3696,10,57,0,1,G
268,60,3210,1,28,3755,2498,11,59,1,1,G
270,24,4402,0,43,1445,3939,15,25,0,1,G
276,12,3011,5,49,167,3876,6,83,1,1,G
277,36,3510,0,50,1381,4260,12,41,0,1,G
278,36,3009,1,18,238,2605,7,35,0,0,G
279,60,3205,6,24,157,2517,9,71,1,0,G
280,42,3005,6,43,1320,3150,10,56,0,0,G
281,18,3011,2,44,483,3457,14,69,1,0,G
284,33,2503,0,26,1700,1766,2,30,0,1,G
285,24,2903,6,33,256,3604,11,41,0,1,G
286,48,2807,0,25,178,2745,9,36,0,1,G
288,36,5701,2,23,16247,3589,10,0,1,0,G
289,84,3010,3,19,396,1026,9,15,0,0,B
290,24,5900,0,52,8320,28088,15,40,1,1,G
292,15,3600,0,32,377,1893,10,28,0,0,G
293,12,4709,0,17,1033,2998,15,35,0,1,G
295,12,4304,3,15,504,871,10,23,0,1,G
296,36,4908,0,21,381,3401,9,41,0,1,G
298,36,3002,0,33,2751,4374,5,80,0,1,G
299,36,4709,0,16,1106,3217,16,60,1,1,G
302,48,2711,0,1,59,68,10,10,0,1,G
306,12,4603,0,55,11022,62023,10,100,0,1,G
309,36,6400,2,16,744,1938,9,26,0,1,G
311,24,5302,0,26,3189,2889,3,0,1,1,G
313,24,4709,5,44,1409,2822,12,31,0,0,G
315,48,3908,0,51,648,2627,10,39,0,1,G
317,60,5709,0,20,3844,3444,8,10,0,0,G
319,18,3802,0,22,2863,2756,9,43,0,1,G
321,36,2505,6,4,442,60,1,23,1,0,B
322,60,3702,0,57,1815,4353,14,56,1,1,G
324,48,5007,0,0,0,0,9,0,0,0,G
329,12,2602,0,31,1068,3187,10,36,0,1,G
331,60,2901,0,0,0,0,0,67,1,1,G
332,12,5405,0,32,274,2402,7,18,0,1,G
334,36,5302,2,21,4907,4431,5,35,1,0,G
335,60,3107,1,32,3001,3510,12,30,0,0,B
336,24,3200,0,28,4541,4801,4,38,0,1,G
342,36,5201,1,10,289,5664,13,130,1,1,G
344,36,4802,1,20,440,2407,3,31,0,1,B
345,60,4803,0,27,1871,6568,4,80,0,1,G
346,36,6607,0,1,1149,511,5,35,1,1,G
347,60,3302,0,31,2392,1842,14,42,1,1,G
349,48,5702,0,23,2303,3646,12,73,1,1,G
350,60,6501,0,18,1205,1190,13,24,0,1,G
354,60,4504,0,50,2249,4772,12,70,0,1,G
355,18,5804,0,16,1789,1052,18,10,0,0,G
356,120,5908,3,18,6668,1111,18,10,0,0,B
358,60,2800,2,2,93,216,3,41,0,0,G
359,24,2600,0,41,1129,3355,5,43,0,1,G
362,60,3009,3,15,390,3398,9,47,1,0,G
366,36,3503,0,0,0,0,0,26,0,1,G
368,60,5105,4,43,690,2737,10,35,0,1,G
370,24,2308,0,39,646,3067,2,27,0,1,G
371,60,3100,1,54,68,3665,1,25,0,1,G
372,24,2911,0,0,0,0,6,37,0,1,G
376,60,5706,2,25,353,2323,11,16,0,1,G
377,18,5208,2,38,351,8231,14,140,0,1,G
381,120,3511,1,46,397,4169,13,37,0,0,G
382,60,2604,0,51,942,4086,2,31,0,1,G
383,60,2903,2,57,569,4609,4,26,1,0,G
384,60,3410,2,44,1181,3257,11,50,0,0,B
387,42,3605,3,39,151,3059,11,40,0,1,G
390,36,5305,1,29,657,2688,11,39,0,1,G
391,48,3600,0,23,6399,5012,4,57,0,1,G
392,24,4606,0,31,831,2429,9,27,0,1,G
395,36,3701,3,21,521,1933,9,18,0,1,G
399,36,2605,0,24,1311,2819,6,41,0,1,G
402,48,4801,0,31,1195,3659,10,64,0,1,G
403,84,2502,5,16,629,5028,10,15,0,0,G
408,36,3104,1,36,626,4833,4,50,0,1,G
409,36,3711,0,70,2467,6066,11,64,0,1,G
410,24,4710,0,16,34384,12664,8,96,0,1,G
418,60,2811,0,4,926,225,7,29,0,1,G
422,24,5206,2,7,151,249,10,9,0,1,G
424,60,2402,0,18,2176,2498,8,48,1,1,G
427,48,4405,0,2,25,330,0,119,0,1,G
429,36,3501,0,54,78,4589,9,47,0,1,G
433,42,5502,0,30,185,1241,12,9,0,1,G
435,60,4907,3,23,3009,11060,10,168,0,0,B
437,60,4908,0,19,7965,7960,12,48,0,1,G
438,24,2604,0,59,189,3199,9,38,0,1,G
439,60,4109,0,20,1566,5650,9,94,1,1,G
441,60,3103,4,55,647,3899,8,80,1,0,G
442,60,4510,0,13,116,826,15,9,0,0,G
445,24,3601,2,46,986,3982,4,87,0,1,G
449,12,5010,0,41,1110,7689,9,51,1,1,G
452,18,3109,0,26,290,2902,5,41,0,1,G
456,36,3608,0,37,534,2482,17,31,0,1,G
459,12,3011,3,40,298,4307,1,51,0,1,G
462,36,3810,0,0,0,0,0,120,0,1,G
468,36,3211,0,32,2624,3718,5,43,0,1,G
469,36,3003,0,12,2135,4527,9,46,1,1,G
470,60,4009,0,35,4077,4669,19,70,1,1,G
472,48,3603,0,49,11276,49849,3,51,0,1,G
