,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
3049,12,4601,0,37,636,2891,3,31,0,0,G
3050,36,2611,0,20,1207,2359,11,30,0,1,G
3054,24,4302,0,4,17808,3812,13,27,0,0,G
3056,36,2202,0,26,924,2288,7,31,0,1,G
3057,12,2811,0,55,2619,2120,12,28,0,1,G
3058,60,3307,1,62,578,8220,11,45,0,1,G
3064,24,3210,0,0,0,0,4,98,0,1,G
3067,36,2709,0,33,61,3749,10,39,0,0,G
3068,36,4202,0,44,355,4728,10,40,0,1,G
3070,60,3003,0,33,1974,10958,9,57,0,1,G
3071,60,4707,0,6,471,475,13,32,1,1,G
3072,84,4611,1,23,8064,7993,17,41,0,1,G
3073,36,5002,3,7,480,1319,7,38,1,0,G
3074,30,2006,3,19,160,661,17,65,1,1,G
3077,24,4707,1,45,816,5273,6,60,0,0,G
3078,60,4705,2,16,2576,4631,10,156,1,1,G
3079,60,4904,0,25,814,4646,10,64,1,0,G
3080,48,5205,2,43,266,4843,10,49,0,1,G
3081,36,6410,0,8,76880,25723,14,31,0,1,G
3082,24,5303,3,19,786,2115,10,24,0,1,G
3083,30,5302,0,13,766,2566,12,32,0,1,G
3084,60,4807,0,2,2507,2500,10,26,1,0,B
3086,36,3203,0,7,745,2512,10,83,1,1,G
3087,60,2608,6,32,241,2525,10,67,1,1,G
3089,36,4002,0,18,1177,3450,16,53,0,1,G
3090,48,6308,0,29,2067,3009,10,21,0,1,G
3092,60,2905,0,13,532,2732,13,70,1,0,G
3093,60,3711,1,52,5,6166,2,60,1,0,B
3094,24,5801,0,17,307,2664,6,37,0,1,G
3095,48,5103,4,28,7054,4412,9,92,0,0,G
3097,24,3610,0,13,373,186,4,0,0,0,G
3100,36,5403,5,20,1398,3651,10,67,0,0,B
3101,36,6305,0,23,58,1546,20,20,0,1,G
3105,18,2909,2,29,327,1858,2,23,0,0,G
3106,60,4700,6,56,1587,6771,15,84,0,0,G
3110,36,3304,0,29,400,3629,9,28,0,1,G
3111,36,5408,0,17,285,2528,10,28,0,1,G
3112,48,4506,0,61,279,7180,17,32,0,1,G
3114,30,3102,1,17,922,2153,17,58,1,1,G
3115,12,4807,2,27,1387,1611,6,34,1,0,G
3116,36,3906,0,16,3211,10905,13,42,0,1,G
3118,48,4010,1,13,632,1694,15,33,0,0,G
3119,60,4403,0,57,3040,5303,11,66,0,1,G
3121,36,4207,0,14,488,2171,11,32,0,1,G
3123,120,4204,5,39,854,6619,10,83,1,1,G
3124,36,4607,1,38,744,3850,13,60,0,1,G
3125,48,3908,0,124,1660,5624,17,64,1,1,G
3126,36,2600,4,14,219,2029,7,29,0,1,G
3127,24,5303,0,33,3388,16852,15,55,1,1,G
3128,48,2403,0,20,2723,2266,7,26,0,1,G
3129,48,2802,1,29,403,2379,10,39,0,1,G
3131,36,4508,0,26,3158,4382,9,50,0,1,G
3132,36,3702,0,83,7187,3596,10,33,0,1,G
3133,18,3801,0,22,127,4087,6,35,0,1,G
3135,120,3307,6,0,5508,0,6,50,0,0,G
3137,36,3410,1,58,734,4119,6,10,0,0,G
3138,18,3901,0,10,645,1057,8,29,0,1,G
3139,120,4311,0,68,381,7354,15,100,1,0,G
3140,36,4006,5,43,743,4908,4,43,1,0,G
3141,36,4311,0,26,1209,3003,15,36,1,1,G
3142,60,4200,0,36,753,4659,17,119,1,1,G
3143,48,6307,5,17,183,2520,15,35,0,1,G
3144,18,6002,0,39,2799,2596,18,64,1,1,G
3145,54,5608,1,52,249,4601,10,41,0,1,G
3146,60,4207,2,31,445,4500,18,80,0,0,B
3147,60,4211,0,57,2504,4253,10,24,0,1,G
3148,48,4500,1,31,834,4732,16,42,0,1,G
3150,120,3708,0,28,1549,2209,18,30,0,0,B
3151,60,4208,0,15,997,3701,9,81,1,1,G
3153,60,3105,1,41,703,2175,11,30,0,1,G
3154,9,2908,0,28,585,2250,4,33,0,1,G
3157,36,5507,2,1,14403,4916,10,45,0,1,G
3158,60,4807,0,15,639,3370,15,50,0,1,G
3159,48,4011,4,31,165,6669,6,44,0,1,G
3161,120,5010,2,63,101,8607,10,80,1,0,G
3162,36,2400,0,24,670,1904,4,25,0,1,G
3164,60,3307,0,67,11080,6217,5,77,1,1,G
3165,24,4205,0,7,1327,993,14,59,1,1,G
3169,12,3910,3,29,667,4472,15,43,0,0,G
3170,48,5406,0,20,10120,2911,10,20,0,1,G
3171,24,3603,5,25,58,3126,6,49,1,1,G
3172,15,4507,1,15,778,1975,10,32,0,1,G
3173,27,4402,6,1,924,15,7,9,0,0,B
3175,36,4104,0,31,3366,1897,10,19,0,1,G
3179,60,5103,1,11,420,3219,18,52,0,1,G
3180,36,5103,3,24,682,2932,10,44,1,0,G
3184,12,3807,0,15,361,1976,11,32,0,0,G
3186,60,3009,4,55,251,3355,4,75,1,0,G
3189,30,4606,5,36,460,3620,10,41,0,0,G
3190,12,2405,0,33,302,1759,2,23,0,0,G
3195,24,4709,0,12,2106,958,10,45,0,0,G
3196,24,5509,5,23,1967,1823,11,23,0,0,B
3197,24,5110,5,28,1443,2842,4,33,0,0,G
3200,72,3308,0,3,185,453,11,9,0,0,G
3201,15,3408,0,9,1582,4496,4,27,0,1,G
3203,12,5905,0,42,1223,4676,10,67,0,1,G
3205,33,3506,6,38,113,2783,10,39,0,0,G
3207,12,2907,1,18,1733,3042,14,28,0,1,G
3208,18,5106,0,45,2897,3837,10,61,0,1,G
3210,36,2011,0,22,398,2723,15,33,0,1,G
3211,120,4509,2,17,962,1410,10,6,0,0,G
3213,60,4309,5,18,408,4598,9,90,1,1,G
3214,48,6007,0,40,4683,5629,10,26,1,1,G
3217,60,3411,5,28,115,3615,6,45,0,0,G
3220,24,3304,0,42,3559,4100,10,73,0,1,G
3222,60,3801,0,22,205,2053,11,24,0,1,G
3227,36,3205,2,44,1023,6919,4,39,0,1,G
3228,48,5406,1,16,1766,3243,10,49,0,1,G
3229,12,4703,0,28,162,1592,10,20,0,1,G
3230,12,4900,0,41,3624,6056,3,79,1,1,G
3233,48,4602,0,48,316,5294,15,76,0,1,G
3234,48,3310,0,0,0,0,16,70,1,1,G
3235,48,4900,0,15,1759,1869,10,38,1,1,G
3238,12,6505,0,41,14728,6682,12,25,0,1,G
3239,60,5700,4,23,2103,2504,8,43,0,0,B
3240,18,2805,4,25,139,1738,2,23,0,0,G
3242,24,4708,0,27,478,1740,17,23,0,1,G
3244,84,3108,1,32,480,3304,4,43,0,1,G
3249,12,3101,0,32,1171,3173,9,50,0,1,G
3250,60,3208,0,24,21825,5957,2,50,0,1,G
3256,60,6100,0,20,12142,2223,10,27,0,1,G
3257,36,5011,2,16,8161,5476,10,26,0,1,G
3260,36,5111,0,22,683,2166,10,32,0,1,G
3263,48,3808,0,29,1853,3882,18,55,0,1,G
3267,36,2308,1,28,348,2644,10,33,0,1,G
3268,60,5704,0,13,2622,3025,10,30,0,1,G
3269,60,4311,1,20,686,1505,18,12,0,1,G
3270,60,5600,0,18,11132,1690,10,63,1,0,G
3272,60,4505,0,33,1675,3291,9,33,0,1,G
3273,60,6001,1,44,3754,7137,8,79,0,0,G
3274,72,2801,1,38,507,2141,4,103,1,1,G
3275,60,6001,2,43,1710,7109,8,79,0,0,B
3276,15,2908,5,15,2,3005,6,43,0,0,B
3277,36,4111,0,14,452,1538,10,29,0,1,G
3279,60,3409,0,26,4421,3944,2,60,0,1,G
3280,60,4604,0,45,3588,7287,9,30,0,1,G
3282,12,4210,0,21,6704,7515,15,21,0,1,G
3283,24,4402,0,37,732,3781,17,44,0,1,G
3284,48,3609,0,21,2515,3714,18,36,0,1,G
3285,30,2805,6,37,10,1535,11,0,0,0,G
3286,48,4905,0,100,448,4850,10,52,0,0,G
3287,60,2303,0,24,248,2231,15,26,0,1,G
3288,60,4708,0,38,888,4115,10,50,1,1,G
3289,18,3906,0,21,377,2459,18,31,0,1,G
3290,60,5306,0,14,394,2227,11,75,0,1,G
3293,72,4509,5,18,64,2081,10,22,1,0,G
3296,24,5801,6,17,272,1575,10,21,0,0,G
3298,36,4003,6,19,734,2606,13,45,0,1,G
3299,24,5204,6,18,434,3872,17,51,0,1,G
3300,24,4405,0,19,816,2670,8,40,0,1,G
3301,36,6604,1,13,253,1217,10,21,0,1,G
3303,12,4201,0,33,5277,3409,11,63,0,1,G
3304,60,5808,3,21,8822,3250,10,28,0,0,G
3305,120,3605,3,25,474,1095,11,18,0,0,G
3308,36,3310,0,16,2735,3575,12,42,0,1,G
3309,24,5008,0,35,973,3579,10,35,0,1,G
3310,120,5202,0,2,20,130,14,27,0,0,B
3311,48,3905,1,27,582,2167,10,10,0,0,G
3314,12,4810,0,40,269,2182,16,13,0,1,G
3315,60,4107,3,22,143,3422,2,41,0,1,G
3316,36,5607,1,58,1151,4361,18,28,1,1,G
3317,60,2207,0,14,2959,4997,10,25,0,0,G
3319,60,6204,0,46,7336,5002,10,33,0,1,G
3320,24,2907,3,32,579,3060,4,37,0,1,G
3321,60,3000,3,24,425,1858,10,27,0,0,G
3323,60,4907,0,25,1035,1187,10,58,1,1,G
3324,24,5104,5,44,100,3834,15,51,1,0,G
3325,12,3605,0,22,6615,9559,16,80,1,1,G
3327,60,3906,1,61,1086,6630,10,57,1,1,G
3328,12,4005,0,32,3480,5651,16,14,0,1,G
3329,60,5505,2,21,778,4317,16,48,1,0,G
3330,12,3600,0,24,846,2567,4,31,0,1,G
3334,60,4503,2,27,9762,3306,17,58,0,1,G
3335,15,5307,1,3,34,375,10,29,0,0,G
3336,36,5706,1,27,1242,3707,10,50,1,1,G
3338,12,6603,0,2,34969,10992,9,0,0,1,G
3341,30,5101,0,43,2699,2304,18,14,0,0,G
3342,60,6110,0,4,2301,8537,14,50,0,0,G
3343,36,6502,0,0,1,0,13,42,0,1,G
3344,36,2100,4,44,276,2398,4,27,0,1,G
3347,36,4911,0,7,179,189,16,51,0,1,G
3350,36,3104,1,36,718,3358,3,37,0,0,G
3351,60,5903,0,29,15536,7348,10,50,1,0,G
3352,36,2106,0,37,1589,1637,4,65,1,1,G
3354,36,3500,0,16,4922,2957,14,20,0,1,G
3355,60,3802,1,45,338,4391,18,72,1,0,G
3357,48,7002,0,28,1843,2538,10,22,1,1,G
3359,30,5108,0,71,708,6707,10,98,1,1,G
3360,60,4206,1,64,773,4035,10,52,0,1,G
3361,12,4610,0,35,465,2904,10,35,0,1,G
3364,9,3207,6,29,478,4196,9,55,0,1,G
3366,84,3206,3,19,429,5938,2,34,1,1,G
3369,36,2504,1,12,1756,3998,9,35,0,0,G
3370,24,4204,0,17,3948,1795,10,12,0,1,G
3371,60,3808,0,44,971,4905,3,25,0,0,G
3373,36,2806,0,47,3619,4296,4,54,0,1,G
3374,24,4809,3,24,385,2386,9,47,0,1,G
3375,72,4907,0,29,1937,1120,15,0,0,0,G
3381,60,3508,0,75,1398,4840,3,41,1,0,G
3383,18,5506,5,21,146,1542,16,26,0,1,G
3385,36,6907,0,18,1684,4293,13,70,0,1,G
3386,60,6503,0,23,5909,6590,10,35,0,1,G
3390,36,3608,0,28,252,1409,2,52,1,1,G
3395,60,4207,0,18,547,2947,10,47,0,1,G
3396,60,3403,0,49,859,4206,5,43,0,1,G
3397,12,3503,0,19,4342,2593,15,32,0,1,G
3398,60,4206,4,21,156,2380,18,18,0,0,G
3399,36,6801,3,7,2991,812,3,8,0,0,G
3401,12,4603,0,56,385,5535,9,39,0,1,G
3404,36,6409,2,29,1152,1833,3,10,0,0,G
3406,60,4206,5,35,435,2867,9,34,0,0,G
3408,48,4800,4,28,1043,3464,10,37,0,1,G
3409,60,2308,0,37,225,2245,2,31,0,1,G
3411,60,5211,0,48,478,4405,15,39,0,1,G
3414,24,3008,0,27,254,2804,5,36,0,1,G
3416,48,4200,1,54,404,3753,10,30,0,1,G
3418,30,5509,0,28,1436,2660,7,57,1,1,G
3419,48,5207,0,37,243,4243,12,32,0,0,G
3421,60,3608,0,11,76,2539,3,38,0,0,G
3422,12,5502,0,11,1975,5025,10,31,0,1,G
3425,36,3103,1,27,1169,3722,3,42,0,0,G
3427,120,4807,6,5,186,251,17,39,0,0,G
3428,36,2603,1,12,281,2084,2,29,0,0,G
3429,12,2002,0,34,1068,10740,12,32,1,1,G
3430,48,5902,0,27,2527,2882,10,25,0,1,G
3431,60,2906,0,26,197,2346,3,59,1,1,G
3435,12,5302,0,1,255,0,9,31,0,1,G
3436,24,5002,4,28,1877,3105,2,47,0,0,B
3438,36,3010,1,55,2470,3114,2,35,0,1,G
3443,60,5411,2,43,1793,6673,21,67,0,1,G
3444,60,4102,5,21,698,2139,15,20,1,1,G
3445,120,6002,4,17,24209,3783,13,24,0,0,B
3450,60,3110,0,28,1163,2107,14,63,1,1,G
3452,12,3711,0,32,1042,3791,10,55,0,1,G
3454,24,3508,1,24,11,2489,3,35,0,1,G
3457,24,2802,3,45,527,4201,4,32,1,1,G
3458,42,6010,5,25,859,1746,10,18,0,0,G
3459,60,3100,3,40,66,1947,7,47,1,1,G
3460,48,5308,0,51,1057,3448,10,39,0,1,G
3464,36,5805,0,8,443,1861,8,25,0,1,G
3466,60,4404,0,31,3530,11235,18,42,0,1,G
3467,12,6210,0,2,8667,1040,15,27,0,1,G
3468,36,3701,1,31,1330,3982,3,60,0,1,G
3469,96,5701,0,21,12040,3017,5,29,0,1,G
3473,36,5708,0,26,2452,2517,10,26,0,1,G
3475,60,3800,0,25,1022,3430,9,40,0,0,G
3476,60,5007,0,22,1597,3903,10,39,0,0,G
3477,36,4507,1,23,973,3199,13,52,0,0,G
3480,60,5807,5,8,671,650,11,19,0,0,G
3481,60,6307,0,7,1586,1905,18,27,0,1,G
3482,48,4500,2,60,1274,5142,2,67,0,1,G
3484,60,3507,0,11,6892,1369,11,30,1,0,G
3486,24,4305,1,25,1701,5281,12,66,0,1,G
3487,60,2810,3,23,1631,3015,10,29,0,0,G
3489,24,4111,5,44,1886,3626,6,32,0,0,G
3490,60,4009,5,25,281,1088,4,37,1,0,B
3491,60,3607,3,32,818,1961,17,28,0,1,G
3493,36,3108,0,3,10531,13513,6,52,1,1,G
3494,24,2607,2,22,302,1824,3,23,0,1,G
3497,60,3203,2,28,388,3184,5,39,0,1,G
3498,12,5102,0,33,268,2312,5,37,0,1,G
3499,12,4711,0,21,2418,5191,4,68,0,1,G
3500,36,3603,0,34,18017,3426,17,32,0,1,G
3501,48,3606,0,7,750,868,3,56,0,1,G
3503,60,3802,0,30,1103,2892,9,32,0,0,G
3505,24,5907,2,25,587,2224,14,29,0,1,G
3508,36,5102,1,18,44,2394,12,34,0,0,G
3510,12,4503,5,30,590,1631,8,13,0,0,G
3512,24,3400,3,22,2296,2088,8,15,0,0,G
3517,36,4307,0,8,10330,2534,15,33,0,1,G
3519,48,4201,1,35,172,5263,11,50,0,1,G
3521,60,4405,0,26,541,4045,15,51,1,0,G
3524,36,2903,0,26,2249,1910,12,27,0,1,G
3526,18,3608,0,14,402,1171,15,10,0,1,G
3527,60,2911,0,21,46,2385,6,31,0,1,G
3528,36,4607,0,7,5952,3953,15,35,0,1,G
3529,36,5710,0,3,39678,7124,17,35,0,1,G
3531,84,5410,0,0,0,0,12,33,1,1,G
3532,18,4302,3,55,217,3110,10,39,1,1,G
3533,36,5007,1,46,1320,5125,4,57,0,0,G
3536,36,5611,0,44,3708,3412,10,32,0,1,G
3537,48,4805,0,66,524,7362,18,67,0,1,G
3538,60,5806,1,23,115,3165,10,38,0,0,G
3540,60,3310,1,93,1507,12761,4,50,0,1,G
3541,12,7303,1,15,44,997,17,11,0,1,G
3543,60,5302,4,3,13875,0,13,100,1,0,B
3544,60,4202,0,46,602,4929,9,78,1,0,G
3547,60,2500,6,37,466,3286,15,37,0,1,B
3548,60,5601,0,17,2021,2920,10,28,0,1,G
3549,48,2605,0,0,0,0,2,0,0,0,G
3555,6,5611,0,28,2619,3355,16,44,0,1,G
3559,36,5009,0,0,0,0,19,120,0,1,B
3560,60,3805,1,28,2879,2107,6,40,1,0,B
3565,36,4709,0,3,2215,650,13,136,1,1,G
3567,36,3900,4,14,600,4158,16,70,0,1,G
3570,12,3600,0,5,10343,3678,11,26,0,1,G
3571,60,4203,0,34,2725,3707,15,67,0,1,G
3572,24,5705,0,22,2179,2173,9,25,0,1,G
3574,18,3903,6,20,132,2396,15,34,0,0,G
3575,60,3201,0,8,1846,90,10,10,0,0,G
3576,36,2805,0,0,2,0,3,35,0,1,G
3577,24,2902,0,25,214,2103,10,30,0,1,G
3578,36,6002,3,23,184,1173,10,13,0,0,G
3579,12,3408,0,86,148,5850,15,73,1,1,G
3580,24,5301,6,20,334,1240,14,0,0,0,B
3581,24,4405,0,49,832,5514,10,65,0,1,G
3582,36,3111,0,67,1494,2312,7,20,0,1,G
3583,36,4402,3,14,534,2190,14,26,0,0,G
3589,60,2110,0,26,223,1836,3,10,0,0,G
3590,36,5303,5,30,4706,8961,13,43,1,0,B
3592,60,2803,5,34,38,3521,3,23,0,0,G
3594,72,4304,0,18,670,3500,18,61,0,1,G
3596,60,2900,0,59,721,3679,11,27,1,1,G
3599,60,5508,0,28,3186,3079,9,20,0,1,G
3600,36,5810,0,43,3137,7649,9,28,0,1,G
3601,36,3404,0,20,194,1666,13,38,1,1,G
3603,30,3701,0,4,7924,6020,7,22,0,0,G
3605,24,3210,3,21,593,1316,3,10,0,0,G
3608,12,4702,1,12,3749,7321,4,48,1,1,G
3609,60,4600,6,19,250,2744,2,34,0,1,G
3610,36,4106,0,5,1754,1160,1,16,0,1,G
3611,24,4603,1,97,237,5886,9,75,1,1,G
3613,24,3510,6,38,1809,3447,8,42,0,0,G
3615,60,5104,0,41,1705,5874,5,34,0,0,G
3620,60,5811,0,0,0,0,4,47,0,0,B
3624,24,4810,0,16,11,2333,3,29,0,1,G
3627,12,2706,1,7,580,2497,2,32,0,1,G
3630,60,3605,0,39,930,2668,3,31,0,1,G
3631,48,4700,3,37,3861,2546,6,44,1,1,G
3635,36,2905,2,38,794,2600,12,48,1,1,G
3637,12,4003,0,34,1164,3078,13,48,0,1,G
3639,12,3510,4,17,204,1260,15,39,0,1,G
3640,60,4007,0,9,2735,2616,5,34,0,1,G
3644,60,2407,5,26,369,2358,3,30,0,1,G
3646,72,4010,0,7,6,1244,13,30,1,0,B
3647,36,3903,4,23,1058,8258,11,35,0,1,G
3648,24,4303,4,13,1374,1948,4,46,0,1,B
3651,60,4003,1,39,148,2257,5,29,1,0,G
3658,12,4909,1,36,381,2465,10,30,0,0,G
3659,18,5209,6,35,135,1585,4,23,0,0,G
3660,36,2707,0,7,5667,3540,11,24,0,1,G
3661,48,6603,0,0,0,0,14,56,0,0,G
3663,24,3511,5,26,1819,1908,10,15,0,0,B
3666,84,3803,0,81,1844,5152,12,67,1,1,G
3676,36,2908,3,24,1465,2705,13,35,0,1,G
3677,12,4602,0,17,2122,4101,15,35,0,1,G
3678,36,2509,1,32,113,1986,3,26,0,1,G
3680,36,5005,0,36,3338,4528,3,26,0,1,G
3685,60,4403,0,7,7,103,18,10,0,0,B
3687,60,3606,3,17,466,2314,8,49,0,1,G
3694,60,2901,0,15,634,2113,9,36,0,1,G
3696,36,3010,0,27,684,2796,13,91,1,1,G
3698,24,5202,0,27,2897,4993,10,37,0,1,G
3699,60,6000,3,11,548,1300,3,134,0,0,B
3700,12,6107,0,24,225,2057,10,30,0,1,G
3701,18,3606,0,0,0,0,1,53,1,1,G
3703,36,3902,3,25,70,4510,4,50,0,1,G
3704,60,4804,0,14,803,1460,10,100,0,0,G
3705,48,2503,2,6,1392,298,14,12,0,0,G
3706,48,5707,0,10,5416,1707,13,21,0,1,G
3708,60,3207,0,16,392,2963,12,37,0,1,G
3709,24,5808,0,0,0,0,10,9,0,0,G
3711,36,4700,0,34,7256,5370,10,570,0,1,G
3715,24,4501,0,21,960,3314,9,48,0,1,G
3718,36,4607,4,42,711,2668,14,32,0,1,G
3719,60,4705,0,41,3140,2592,10,13,0,1,B
3721,60,2804,0,47,78,2372,10,20,0,1,G
3722,60,3810,2,23,2105,2926,13,46,0,1,G
3725,12,2805,1,31,198,3957,3,42,0,1,G
3728,36,2502,0,8,8129,1817,10,24,0,1,G
3732,12,2710,2,15,159,1721,11,28,0,1,G
3735,36,3407,1,53,539,3903,14,24,0,1,G
3736,48,2708,0,31,1041,3880,4,50,0,1,G
3738,72,4607,1,18,858,3000,12,39,1,0,G
3739,60,6904,0,0,0,0,0,45,0,1,G
3742,36,4809,0,51,3973,3574,10,59,0,0,G
3743,15,3804,5,47,1173,10493,10,121,0,0,G
3744,48,4208,0,9,668,1278,4,56,0,1,G
3745,24,2201,5,27,469,1995,8,23,0,0,G
3746,18,3307,0,46,619,3132,5,72,1,1,G
3751,12,3000,0,29,1191,5896,2,83,0,1,G
3752,36,6601,0,9,3017,1969,9,27,0,0,G
3757,60,3204,1,42,1671,3581,17,30,0,0,G
3758,24,4004,0,4,5023,18654,16,54,0,1,G
3759,60,2601,1,82,3393,8708,11,30,0,0,G
3762,36,3709,0,50,1912,11873,18,53,0,1,G
3763,60,5504,0,70,25786,24922,9,83,0,1,G
3773,48,4407,0,14,1138,4260,21,73,0,1,G
3774,36,2301,1,22,405,2289,22,33,0,1,G
3777,48,2907,0,39,525,2869,10,52,0,1,G
3778,30,3300,0,7,396,1606,2,30,0,1,G
3779,30,5609,0,3,1316,3145,17,12,0,1,G
3782,48,2703,3,31,265,2289,10,36,0,1,G
3784,60,4401,5,114,148,4398,13,121,1,1,G
3785,60,5508,2,35,1481,2808,10,71,1,0,G
3787,36,2707,0,23,567,1915,14,25,0,1,G
3788,15,3009,5,2,1665,570,9,10,0,0,B
3790,36,2908,5,21,172,2865,7,38,1,1,G
3792,36,2611,0,28,257,3261,10,34,0,1,G
3793,27,4902,6,1,4574,183,13,95,0,0,G
3794,60,4206,2,30,1017,3407,14,43,1,1,G
3795,60,4902,0,45,1938,5118,7,56,1,1,G
3798,48,3204,0,36,373,3069,4,47,0,1,G
3799,48,3503,0,23,11241,4771,10,33,0,1,B
3800,60,5704,0,0,0,0,9,5,0,0,G
3801,60,4501,2,24,454,2347,4,9,0,0,B
3806,60,3206,0,7,19,1608,6,35,1,1,G
3807,18,7109,2,27,196,1142,10,13,0,0,G
3812,54,2807,6,8,496,418,7,13,0,0,G
3813,36,4206,1,59,576,8751,11,78,0,1,G
3816,24,3105,0,30,823,2695,18,22,0,1,G
3819,18,3108,4,29,670,3005,2,39,0,0,G
3820,24,2909,1,46,1035,4136,9,64,0,1,G
3824,36,4909,0,32,5435,1933,15,24,0,1,G
3833,84,4300,2,22,667,3223,10,49,0,0,B
3834,48,4908,0,23,2519,3285,4,35,0,1,G
3837,36,3103,5,24,58,1975,4,24,0,0,G
3840,30,4202,0,23,1167,1958,16,21,0,1,G
3843,48,4103,1,66,641,4881,13,49,0,1,G
3844,12,5704,5,27,772,2034,10,24,0,1,G
3848,60,6005,0,45,722,2662,10,30,0,1,G
3850,60,4411,0,23,1966,14408,10,102,1,0,G
3851,60,4411,0,23,1966,14408,10,130,1,0,G
3853,60,5409,0,0,0,0,0,29,1,1,G
3855,60,5101,4,38,6793,4261,10,72,0,0,G
3856,36,2703,1,44,388,2280,9,41,0,1,G
3859,48,3601,1,27,1150,4616,8,30,0,1,G
3863,60,4106,0,37,576,4233,10,80,1,1,G
3864,24,3307,6,24,680,2061,13,28,0,0,G
3870,60,4108,0,11,1833,2503,11,28,0,1,G
3871,24,6301,0,40,10,5195,9,19,0,1,G
3872,48,3210,0,17,465,1525,5,28,0,1,G
3873,60,5503,3,27,9040,5965,15,85,1,0,B
3875,36,3001,0,8,2599,1477,12,48,1,1,G
3876,3,4500,2,51,16,4227,9,44,0,1,G
3877,60,4304,0,16,4178,3379,10,47,0,1,G
3878,36,2009,0,20,369,2280,4,34,0,1,G
3879,12,4600,0,22,4514,5224,11,67,1,1,G
3884,60,5305,0,22,2198,3824,9,44,0,1,G
3886,12,3109,0,7,2007,2291,10,52,0,0,G
3888,24,5304,0,0,0,0,0,45,1,0,G
3889,36,5005,4,28,556,2010,8,30,0,0,G
3890,18,3809,0,56,1113,3866,6,59,0,1,G
3891,24,4908,0,21,0,2781,18,46,0,1,G
3894,60,4906,0,51,1306,4098,10,43,0,1,G
3895,24,4711,0,20,1276,1357,7,77,1,1,G
3896,36,5203,0,30,450,5580,10,39,0,1,G
3898,60,2708,0,7,523,694,9,51,1,1,G
3899,60,6400,2,62,3872,7435,10,58,1,0,G
3900,60,2510,0,36,201,3090,11,54,1,1,G
3902,36,2709,0,0,0,0,10,35,0,1,G
3904,27,3207,4,40,42,2531,7,37,0,1,G
3906,42,2600,3,40,86,3208,3,51,1,0,G
3908,24,5100,0,52,153,7025,6,79,1,0,G
3909,9,2706,6,10,1826,2478,9,37,0,0,G
3910,60,4607,6,1,5106,28,13,38,0,0,B
3913,12,4911,5,55,2356,5139,6,78,1,0,G
3914,48,3601,5,28,2253,3444,6,61,0,0,G
3918,60,6401,2,7,306,1131,14,36,1,0,B
3919,60,5202,0,15,864,821,9,18,0,0,B
3920,24,3402,4,27,342,3933,2,65,0,0,G
3922,36,5000,2,36,171,4337,10,48,0,1,G
3926,24,3602,3,65,377,3590,4,42,0,1,G
3929,36,4200,0,27,440,2921,11,42,0,1,G
3930,60,5906,0,10,1001,1569,10,20,0,1,G
3931,120,3911,1,27,21672,25222,3,86,1,0,B
3932,36,2611,1,14,502,2552,4,38,1,1,G
3934,36,5904,0,14,17533,8910,9,33,0,1,G
3939,36,2707,1,42,1355,3853,6,56,0,1,G
3940,48,4009,0,38,1656,3038,10,43,0,1,G
3942,36,3804,2,9,121,607,2,20,1,0,G
3944,18,3204,3,21,1465,3457,3,52,0,1,G
3945,60,5906,1,24,1090,3239,12,39,0,1,G
3948,36,4301,0,40,896,4908,11,44,0,1,G
3951,36,5104,0,18,1469,2288,15,10,0,0,G
3954,84,4307,6,1,17,3,13,25,0,1,G
3959,36,2705,2,49,95,2760,4,33,0,0,G
3963,36,4600,0,35,2498,6367,12,91,0,1,G
3965,12,3010,1,27,716,2435,3,36,0,1,G
3967,21,7105,1,28,190,1820,10,0,0,0,G
3968,72,3900,3,40,19,4330,17,20,0,0,G
3971,48,4410,0,29,2963,3562,10,53,0,1,G
3975,12,3001,0,37,514,1872,3,25,0,1,G
3978,60,4700,0,21,15,2462,14,40,1,1,G
3983,60,2807,5,48,752,3965,5,44,1,0,G
3986,60,3909,0,33,13553,7417,10,33,0,1,G
3988,48,3205,0,11,1227,2445,14,34,0,1,G
3989,48,4200,1,71,1208,5523,7,90,1,1,G
3990,48,2709,1,35,453,2322,7,27,0,0,G
3994,12,2903,0,30,336,2693,11,36,0,1,G
3998,36,3105,2,17,50,746,7,12,0,0,G
4000,24,4506,0,8,898,353,11,12,0,1,G
4002,24,3405,2,39,669,5287,6,38,0,1,G
4004,24,2805,0,33,1434,7420,10,68,0,1,G
4006,36,4200,1,31,3119,3650,9,32,0,0,G
4007,60,3811,0,51,1167,2771,10,37,0,1,G
4008,36,5509,5,29,442,2304,9,32,0,1,G
4012,48,6203,1,31,6217,4884,14,41,1,1,G
4014,84,4602,3,21,503,1919,13,22,1,0,G
4015,36,4401,5,38,127,1939,10,28,0,1,G
4016,60,5801,2,37,104,1569,17,45,1,1,G
4017,60,3108,0,49,3239,6916,5,57,1,1,G
4018,60,2904,0,47,46,2104,2,24,0,0,G
4020,60,5400,0,18,1883,7547,10,64,0,1,G
4021,60,3603,2,22,1054,3028,7,70,1,1,G
4024,9,4606,0,56,7832,60453,0,0,1,1,G
4026,60,4603,0,68,1120,6859,14,56,1,1,G
4029,60,5400,0,43,1573,3993,10,45,0,1,G
4031,24,4804,2,20,776,1210,10,10,0,1,G
